Date,Real Value,Predicted Value
2024-01-08,33.85372543334961,33.81384
2024-01-09,33.56302261352539,33.853527
2024-01-10,33.25469970703125,33.87698
2024-01-11,33.53659439086914,33.928146
2024-01-12,33.62468338012695,34.012936
2024-01-15,33.98586654663086,34.087246
2024-01-16,33.56302261352539,34.249012
2024-01-17,33.369224548339844,34.386555
2024-01-18,33.237083435058594,34.377098
2024-01-19,33.06089782714844,34.303875
2024-01-22,33.21065139770508,34.277386
2024-01-23,33.62468338012695,34.320213
2024-01-24,33.369224548339844,34.424225
2024-01-25,34.602508544921875,34.475117
2024-01-26,35.2015266418457,34.85935
2024-01-29,35.7388916015625,35.23868
2024-01-30,35.51866149902344,35.550465
2024-01-31,35.90626525878906,35.619244
2024-02-01,36.61980819702149,35.63165
2024-02-02,36.14411544799805,35.76048
