,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,SMA_10,EMA_10,RSI_10,MACD,MACD_Histogram,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,stoch_k,stoch_d
268,268,268,268,268,268,2016-02-04,17.06999969482422,17.729999542236328,17.059999465942383,17.700000762939453,7.358297348022461,700100,16.667000102996827,16.865838946741754,65.51600370443855,0.1461017130990853,0.2574598341459914,14.738369193844166,16.26600012779236,17.79363106174055,18.783117200866823,0.969354411225783,0.6270161950052585,79.31873098235273,82.92107335436468
269,269,269,269,269,269,2016-02-05,17.579999923706055,18.1200008392334,17.5,17.850000381469727,7.420658111572266,366300,16.91200017929077,17.044777389419565,66.9407118166228,0.2211370680997717,0.2659961513173422,14.764763134529176,16.38750014305115,18.010237151573122,19.804570487952887,0.9506276219554076,0.6265150981633092,85.75453022480558,81.58564691540683
270,270,270,270,270,270,2016-02-10,17.540000915527344,17.959999084472656,17.540000915527344,17.799999237060547,7.399871826171875,323100,17.142000102996825,17.182090452627016,65.93180615102261,0.2734166758186696,0.254620607228992,14.746129018424876,16.473500108718873,18.20087119901287,20.97151277984642,0.8839647241392424,0.6117638889033248,92.49900656183064,85.85742258966297
271,271,271,271,271,271,2016-02-11,17.739999771118164,17.809999465942383,17.219999313354492,17.690000534057617,7.354142189025879,295800,17.339000129699706,17.27443774015985,63.58915095523802,0.3024857975717729,0.2269517831856763,14.742985484870191,16.545500135421754,18.34801478597332,21.788578595972616,0.8174732583409658,0.610209336306417,88.92505809283608,89.05953162649075
272,272,272,272,272,272,2016-02-12,17.709999084472656,17.790000915527344,17.40999984741211,17.75,7.379086494445801,350600,17.467000198364257,17.36090360558533,64.35670429029034,0.3265999010994207,0.2008527093706592,14.756419858271286,16.624000120162965,18.491580382054643,22.46848229538356,0.8014595685158148,0.5937658885495181,87.83927785020937,89.75444750162535
273,273,273,273,273,273,2016-02-15,17.790000915527344,17.950000762939453,17.360000610351562,17.600000381469727,7.316727638244629,284300,17.548000144958497,17.40437574665522,60.79664190020816,0.3298049995235175,0.1632462462358048,14.785674567903776,16.69150013923645,18.597325710569123,22.835881202225547,0.738348213996834,0.593496907408962,85.51667362122292,87.42700318808944
274,274,274,274,274,274,2016-02-16,17.549999237060547,17.81999969482422,17.309999465942383,17.799999237060547,7.399871826171875,1127500,17.589000129699706,17.476307290365277,63.76607813251943,0.3445119796519371,0.1423625810913795,14.804223950389874,16.76300005912781,18.72177616786574,23.370233273623818,0.764705898062258,0.5875328589336828,86.50733555827121,86.62109567656783
275,275,275,275,275,275,2016-02-17,17.68000030517578,18.36000061035156,17.68000030517578,18.21999931335449,7.574476718902588,725500,17.638000106811525,17.61152402181786,69.2081669607418,0.3856127595748368,0.1467706888114234,14.904650721686298,16.89150004386902,18.87834936605174,23.52484168987553,0.8343231050923382,0.5941376765317166,88.8338794630929,86.952629547529
276,276,276,276,276,276,2016-02-18,18.21999931335449,18.46999931335449,17.899999618530273,18.46999931335449,7.678404808044434,689700,17.782999992370605,17.767610438460885,71.99046885753735,0.4333627978668524,0.1556165816827511,15.02752919278636,17.034999990463255,19.04247078814015,23.56877955739057,0.8574147441028426,0.5924135349789235,94.63098461039196,89.99073321058535
277,277,277,277,277,277,2016-02-19,18.489999771118164,18.600000381469727,18.200000762939453,18.479999542236328,7.682562351226807,629300,17.935999870300293,17.89713573005642,72.10250582011946,0.4666329282016903,0.1511093696140712,15.160835954283398,17.171499967575073,19.182163980866747,23.41861825802533,0.8253899124894318,0.5786696837873109,96.12335549252616,93.19607318867033
278,278,278,278,278,278,2016-02-22,18.63999938964844,18.65999984741211,18.239999771118164,18.36000061035156,7.63267707824707,546800,18.001999855041504,17.98129298101917,68.45189215297019,0.4778089510977032,0.1298283140080673,15.501257385156524,17.334499979019164,19.167742572881806,21.15137553527947,0.7796958337007828,0.5673361403821331,92.37942393592932,94.37792134628246
279,279,279,279,279,279,2016-02-23,18.36000061035156,18.6200008392334,18.030000686645508,18.59000015258789,7.728294372558594,553700,18.07599983215332,18.09196701221348,71.52250066386345,0.4994675199712937,0.1211895063053262,15.812983889767391,17.494000005722047,19.1750161216767,19.218201845259124,0.8259933490415777,0.568954998398527,91.1113136276092,93.2046976853549
280,280,280,280,280,280,2016-02-24,18.450000762939453,18.450000762939453,17.670000076293945,18.06999969482422,7.512118339538574,548700,18.102999877929687,18.08797295450634,57.47070301631352,0.4692630286407215,0.0727880119798032,16.19739854790186,17.622499990463258,19.047601433024656,16.173658031864026,0.6570062632020952,0.5940296468440357,81.92909999273628,88.47327918542493
281,281,281,281,281,281,2016-02-25,17.940000534057617,18.6200008392334,17.899999618530273,18.3799991607666,7.6409912109375,410400,18.171999740600587,18.141068628371844,62.36804755056859,0.4649801164353562,0.0548040798195503,16.593166876379055,17.755499935150148,18.91783299392124,13.092653690590256,0.7686403956696894,0.6030276164135322,81.53052208169959,84.85697856734835
